wals_code	name	family	features
all	Ala'ala	Austronesian	order_of_subject_and_verb=1 SV|order_of_adposition_and_noun_phrase=4 No dominant order|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=2 Noun-Numeral|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=5 Other|order_of_negative_morpheme_and_verb=1 NegV
alk	Arop-Lokep	Austronesian	order_of_subject,_object_and_verb=2 SVO|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_genitive_and_noun=3 No dominant order|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=2 Noun-Numeral|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 VO and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 VO and NRel|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 VO and NAdj|order_of_negative_morpheme_and_verb=2 VNeg
wed	Wedau	Austronesian	order_of_object_and_verb=1 OV|order_of_adposition_and_noun_phrase=4 No dominant order|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=1 Demonstrative-Noun|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=2 OV and NAdj|order_of_negative_morpheme_and_verb=1 NegV
xar	Xârâcùù	Austronesian	order_of_object,_oblique,_and_verb=1 VOX|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_genitive_and_noun=3 No dominant order|order_of_adjective_and_noun=1 Adjective-Noun|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=1 Numeral-Noun|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 VO and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=3 VO and AdjN|order_of_negative_morpheme_and_verb=1 NegV
eng	English	Indo-European	order_of_subject,_object_and_verb=2 SVO|order_of_object,_oblique,_and_verb=1 VOX|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_genitive_and_noun=3 No dominant order|order_of_adjective_and_noun=1 Adjective-Noun|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=1 Numeral-Noun|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_degree_word_and_adjective=1 Degree word-Adjective|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 VO and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 VO and NRel|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=3 VO and AdjN|order_of_person_markers_on_the_verb=1 A and P do not or do not both occur on the verb|order_of_negative_morpheme_and_verb=1 NegV
adz	Adzera	Austronesian	order_of_subject_and_verb=1 SV|order_of_object,_oblique,_and_verb=1 VOX|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=2 Noun-Numeral|order_of_relative_clause_and_noun=1 Noun-Relative clause|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 VO and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 VO and NRel|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 VO and NAdj|order_of_person_markers_on_the_verb=1 A and P do not or do not both occur on the verb|order_of_negative_morpheme_and_verb=15 OptDoubleNeg
anj	Anejom	Austronesian	order_of_negative_morpheme_and_verb=1 NegV
wol	Woleaian	Austronesian	order_of_object_and_verb=2 VO|order_of_object,_oblique,_and_verb=1 VOX|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_genitive_and_noun=3 No dominant order|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=1 Numeral-Noun|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_degree_word_and_adjective=2 Adjective-Degree word|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 VO and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 VO and NRel|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 VO and NAdj|order_of_negative_morpheme_and_verb=1 NegV
aml	Ambae (Lolovoli Northeast)	Austronesian	order_of_object,_oblique,_and_verb=1 VOX|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_genitive_and_noun=2 Noun-Genitive|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=2 Noun-Numeral|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 VO and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 VO and NRel|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 VO and NAdj|order_of_negative_morpheme_and_verb=14 ObligDoubleNeg
tur	Turkish	Altaic	order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_object,_oblique,_and_verb=3 XOV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=1 Adjective-Noun|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=1 Numeral-Noun|order_of_relative_clause_and_noun=2 Relative clause-Noun|order_of_degree_word_and_adjective=1 Degree word-Adjective|order_of_adverbial_subordinator_and_clause=5 Mixed|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=1 OV and RelN|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=1 OV and AdjN|order_of_person_markers_on_the_verb=1 A and P do not or do not both occur on the verb|order_of_negative_morpheme_and_verb=4 [V-Neg]
vnm	Vinmavis	Austronesian	order_of_adposition_and_noun_phrase=2 Prepositions|order_of_genitive_and_noun=2 Noun-Genitive|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=2 Noun-Numeral|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 VO and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 VO and NRel|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 VO and NAdj|order_of_negative_morpheme_and_verb=14 ObligDoubleNeg
hin	Hindi	Indo-European	order_of_object_and_verb=1 OV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=1 Adjective-Noun|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=1 Numeral-Noun|order_of_relative_clause_and_noun=4 Correlative|order_of_degree_word_and_adjective=1 Degree word-Adjective|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=1 OV and AdjN|order_of_person_markers_on_the_verb=1 A and P do not or do not both occur on the verb|order_of_negative_morpheme_and_verb=1 NegV
